Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Остатки,,,,,,,,,,,,
,,отчет создан:,2026-06-27 12:08:47.143000,,,,,,,,,,
,,исполнитель:,Валерия  (admin@gorokhovavaleriia ),,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,склад:,Основной склад,,,,,,,,,,
,,доступно:,Любое,,,,,,,,,,
,,,,,,,,,,,,,
,Код,Артикул,Наименование,Ед.изм.,Доступно,Резерв,Ожидание,Остаток,Себестоимость,"Сумма
себестоимости",Цена продажи,Сумма продажи,Дней на складе
,Лера,,,,,,,,,,,,
,118067859_5834384503,,Собачка,шт,0,0,0,0,0,0,999,0,0
,120058498_313212331,,Органайзер на козырек бежевый,шт,59,0,0,59,560.1986440677966,33051.72,1390,82010,23.08
,119799907_5156441123,,Стул сумочка,шт,3,6,0,9,1063.97,9575.73,2037,18333,14.68
,135313704_21312123,,форма для багета,шт,0,0,0,0,0,0,2350,0,0
,145357909_9852709494,,пятиколесный нож,шт,0,0,0,0,0,0,2350,0,0
,112122581_166277484,,Фонарь одуванчики,,0,2,0,2,1388.83,2777.66,1999,3998,350.68
,109434219_5156141512,,светящиеся очки,шт,60,5,60,5,644.26,3221.3,1950,9750,22.58
,107569821_98090870,,фартук черный,шт,60,0,60,0,0,0,1226,0,0
,104045657_574838995,,подстаканник в коляску боковой,шт,53,10,51,12,916.49,10997.88,1589,19068,22.58
,116341310_9898042,,набор для вязания,шт,27,3,0,30,2390.1,71703,3500,105000,37.42
,102558560_7587498420,,фломастеры 120 цветов,шт,2,0,2,0,0,0,4500,0,0
,139305819_8451256212,,только мыльница кричневая дорожная,шт,14,7,0,21,210.42,4418.82,997,20937,37.44
,114376618_9865678645,,чашки пирамидки,шт,20,24,0,44,407.89,17947.16,795,34980,22.59
,106292014_867598942,,брелок кпп,шт,100,0,100,0,0,0,400,0,0
,137633111_6746773452,,дрип-пакеты для кофе,шт,50,4,50,4,447.17,1788.68,909,3636,37.43
,120241915_5748375324,,скалка сталь,шт,0,0,0,0,0,0,1284,0,0
,112424948_213123123312,,подстаканник в коляску,шт,27,5,0,32,591.54,18929.28,1294,41408,22.58
,119578581_5674839342,,палочки для сахарной ваты,шт,34,2,0,36,889.24,32012.64,3500,126000,14.68
,128108053_4844984892,,Заглушка черная Venera 10 шт,шт,21,3,0,24,352.54,8460.96,1087,26088,22.58
,120293721_9865893575,,шторка на лобовое,шт,100,0,100,0,0,0,844,0,0
,130445467_7685403762,,портативный душ,шт,60,0,60,0,0,0,15100,0,0
,111469780_312123,,жидкая изолента,шт,50,0,33,17,672.5,11432.5,1747,29699,14.68
,138431862_788985499,,вертушка для попугая,шт,30,0,0,30,449.84,13495.2,1911,57330,1.62
,150916766_8753459825,,подарок факушка,шт,56,0,50,6,312.14,1872.84,950,5700,44.49
,132811682_8494579237,,парные браслеты он и она,шт,0,1,0,1,142.35,142.35,295,295,106.82
,104801620_4708190908243,,фурминатор,шт,49,1,0,50,822.55,41127.5,1692,84600,1.62
,110006407_7658374893,,силиконовая мыльница,шт,51,0,50,1,297.88,297.88,890,890,32.49
,141662640_8769889400,,походные приборы 3 шт,шт,15,6,0,21,607.02,12747.42,1221,25641,8.62
,120492679_5457474654,,горшок дорожный котик,шт,25,0,25,0,0,0,7800,0,0
,117722758_7834659275,,щетка тряпка на лобовое,шт,38,2,0,40,213.46,8538.4,800,32000,1.57
,064039186,,зеркало черное,шт,34,2,0,36,103.50833333333334,3726.3,2197,79092,44.25
,141974900_23123123,,банка уточка лэппэгэр,шт,26,6,0,32,711.39,22764.48,1100,35200,44.56
,109460216_35132123,,варежка для теста,шт,56,3,40,19,389.07,7392.33,999,18981,14.68
,103293346_856598652,,пирометр,шт,58,6,50,14,1416.9,19836.6,3000,42000,32.5
,119220282_1356487956344,115877977,фиксатор одеяла пластик,шт,0,0,0,0,0,0,0,0,0
,106835892_23312123,,фигурные ножницы,шт,-1,0,0,-1,0,0,1999,-1999,0
,130268280_7657985492,,кэмпинг кухня складная,шт,21,0,0,21,6035.91,126754.11,13000,273000,22.58
,121009600_983420823,,спонж для макияжа,шт,54,3,0,57,127.98,7294.86,350,19950,56.07
,122104807_4754870357,,соляная лампа,шт,20,2,20,2,3373.19,6746.38,7498,14996,63.64
,117190986_48752395832,,Авиагамак,шт,50,0,50,0,0,0,2299,0,0
,143283558_5873499026,,черные колпачки 4 шт HYUNDAI,шт,20,0,20,0,0,0,1185,0,0
,129896152_8932423784647,,угольник 112 мм,шт,37,3,30,10,1587.03,15870.3,4682,46820,37.43
,139950632_461312323,,зажим для простыней короткий 5 см,шт,0,0,0,0,0,0,1229,0,0
,147806914_4561354444,,розовый комплект 8 шт,шт,45,0,40,5,1921.11,9605.55,3980,19900,14.68
,108489572_7584523904,,гольфы лапки,шт,24,4,20,8,308.4,2467.2,1299,10392,32.51
,135119919_838939393,,форма аэрогриля 16 см,шт,121,3,0,124,521.1003225806452,64616.44,938,116312,141.32
,164333186,106359065_12312123,корзина для белья наша 42 см,шт,24,3,0,27,2991.71,80776.17,4999,134973,22.56
,142534000_231123123,,светильник медуза одиной,шт,126,0,100,26,971.66,25263.16,2036,52936,31.62
,103637423_67348747382,,фломастеры 36 цветов,шт,0,0,0,0,0,0,989,0,0
,140113652_5648928875,,черные колпачки 4 шт BMW,шт,20,0,20,0,0,0,697,0,0
,110568369_73883939,,Дождевик черный,,70,0,70,0,0,0,3805,0,0
,131508846_8754894867,,спрунки плющ зеленый винерия,шт,0,0,0,0,0,0,986,0,0
,107447119_6547839395,,открывашка пики,шт,20,0,20,0,0,0,338,0,0
,112441280_658247944,,бейдж пластиковый,шт,50,0,0,50,313.68,15684,949,47450,1.62
,121021356_564185641,,Ключница вверх,шт,43,2,40,5,227.75,1138.75,949,4745,14.68
,109252388_545132123,,массажер черный,шт,25,0,0,25,962.39,24059.75,1580,39500,37.47
,129320796_67577983652,,накладка на ремень,шт,53,2,50,5,667.26,3336.3,1747,8735,14.68
,115193638_75438922034,,кружка с подогревом,шт,54,0,10,44,2283.2863636363636,100464.6,2625,115500,80.63
,103489718_844533531,,джиггер,шт,10,0,10,0,0,0,550,0,0
,118346310_768732752,,ремень подтяжка белая 4 шт,шт,48,0,50,-2,0,0,1370,-2740,0
,118365566_6578489432,,газовая горелка с соплами,шт,27,6,20,13,7405.18,96267.34,11866,154258,44.64
,106525924_8593873402,,фломастеры 48 цветов,шт,0,0,0,0,0,0,2300,0,0
,108665518_7588324555,,насадка дозатор,шт,49,1,0,50,121.26,6063,350,17500,1.62
,147009182_5369242743,,набор самураи 6 шт 3 см,шт,79,2,19,62,158.34,9817.08,1198,74276,44.56
,112576671_980823480,,чехол для колес L,шт,33,0,0,33,2213.45,73043.85,3999,131967,14.68
,103467323_3232323,,Кисть для чая,,19,1,0,20,1068.12,21362.4,2416,48320,1.62
,106413371_1648416513,,выжимка для цепи,шт,20,0,20,0,0,0,1298,0,0
,122051113_43298032,,Набор для алмазной мозаики,шт,47,2,0,49,1872.28,91741.72,3164,155036,36.48
,113572474_757849839,,кости игральные черные 2 шт,шт,56,1,40,17,66.63,1132.71,258,4386,44.59
,119383154_5783439422,,черные колпачки 4 шт TOYOTA,шт,23,0,20,3,250.55,751.65,697,2091,36.48
,138269054_5674849922,,силиконовая формочка для сосисок,шт,40,6,40,6,282.06,1692.36,580,3480,53.6
,119469501_485943484,,детская панамка розовая,шт,9,4,0,13,691.83,8993.79,1390,18070,8.62
,121433515_564944752,,ситечко для чая,шт,42,1,0,43,387.79,16674.97,999,42957,8.63
,106359065_12312123,,корзина для грязного белья 50 см,шт,2,0,2,0,0,0,3999,0,0
,121316727_0982409,,золотая лента 20 мм,шт,39,0,39,0,0,0,1449,0,0
,140368525_6873432395,,форма для люля,шт,48,4,40,12,1406.4,16876.8,3747,44964,14.68
,121706062_1235856964,,Тапки с мишкой,шт,11,7,0,18,613.3,11039.4,1746,31428,31.57
,118524767_654738434,,держатель очков голд,шт,40,0,0,40,169.11,6764.4,609,24360,1.62
,116139529_6574839532,,алюминиевые формочки для кексиков 20 штук,шт,23.5,2,0,25.5,658.7603921568628,16798.39,2213,56431.5,15.44
,119220282_1356487956322,,держатель полотенец,шт,11,0,0,11,1150.73,12658.03,0,0,216
,119001924_7389583802,,Защитный фартук для плиты,,24,5,0,29,3518.9389655172413,102049.23,6675,193575,14.63
,117966660_123132123,,набор форм 11 штук,шт,0,0,0,0,0,0,1220,0,0
,118067916_123123132,,кухонные ножницы золото,шт,30,5,1,34,601.5,20451,1247,42398,44.59
,101724579_5497738493,,фломастеры 80 цветов,шт,0,0,0,0,0,0,2829,0,0
,108761828_423988204,,держатель штор золотая ветка,шт,0,1,0,1,2248.94,2248.94,3921,3921,116.05
,124186000_8574980034,,уличный фонарь квадрат,шт,4,11,0,15,5472.1,82081.5,4999,74985,1.62
,104088271_8596945834,,Кукольный театр,шт,0,0,0,0,0,0,1350,0,0
,136435317_87319789231,,золотая лента 10 мм,шт,50,1,0,51,369.1380392156863,18826.04,1400,71400,57.02
,142733788_45123312,,ручка для крышки Tomiris,шт,21,2,0,23,279.82,6435.86,1300,29900,44.56
,154813510_5743359205,,нитковдеватель,шт,28,0,0,28,823.48,23057.44,2200,61600,44.61
,118550433_04257729320,,светильник с маркером,шт,14,0,0,14,671.19,9396.66,2100,29400,136.59
,136627050_31988909,,золотая лента 15 мм,шт,28,0,0,28,612.74,17156.72,1100,30800,32.51
,133884877_575284025,,когтерезка,шт,27,3,0,30,209.28,6278.4,758,22740,44.59
,*139817817_498498156,,стол гриль без крышки,шт,20,0,0,20,9223.48,184469.6,18587,371740,1.55
,119220282_1356487956345,,форма для аэрогриля силикон 20 см,шт,10,0,0,10,587.02,5870.2,900,9000,127.56
,120731401_564123132,,пластилин строительный,шт,18,1,0,19,561.65,10671.35,2499,47481,36.46
,131296355_54123123,,лопатка для простыней,шт,0,0,0,0,0,0,956,0,0
,117719675_567483753,,настольная табличка А5,шт,35,2,0,37,399.18,14769.66,977,36149,32.48
,111469779_231123123,,жидкая изолента белая,шт,42,3,20,25,672.5,16812.5,2190,54750,14.68
,140402067_5493720957,,карманец между сиденьями,шт,18,1,0,19,305.92,5812.48,1000,19000,51.51
,116982076_1256456123,,Набор стеклянных контейнеров с крышкой круглый бамбук,,20,0,0,20,2849.65,56993,7549,150980,0.58
,157178994_9878897898,,Зеленое биде,шт,21,1,0,22,1143.93,25166.46,2255,49610,69.75
,109523171_8657577457,,зубная паста для котят,шт,17,9,0,26,727.54,18916.04,1400,36400,44.47
,135849679_7690944385,,кернер слесарный,шт,30,2,20,12,289.6,3475.2,950,11400,22.58
,142668752 _4708190908272,,Кольцо для мяча тигренок,,20,0,0,20,589.19,11783.8,1134,22680,36.45
,114953783_3856383729,,шарики панда для стирки,шт,20,0,20,0,0,0,652,0,0
,134191782_09880924,,неоновые звезды разноцветные,шт,15,3,0,18,141.94,2554.92,796,14328,14.66
,116097085_213123,,подтяжки для одеяла 6 конечные,шт,32,3,0,35,663.94,23237.9,995,34825,44.56
